STATION,LAT,LON,ALT,PARAMETER,YEAR,MONTH,DAY,HOUR,AVERAGING_PERIOD,CONCENTRATION,UNITS
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,2,1,10.9779,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,3,1,23,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,3,1,19,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,3,1,54,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,3,1,29,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,3,1,22,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,3,1,26,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,3,1,9,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,3,1,26,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,3,1,33.3367,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,3,1,17,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,3,1,42.8824,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,3,1,12.0846,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,3,1,31.7696,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,3,1,23.7575,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,3,1,31.3555,ug/m3
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,3,1,14.6364,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,3,1,41.9671,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,3,1,50.2048,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,3,1,84.9748,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,3,1,33.9291,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,3,1,26.6564,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,4,1,28,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,4,1,36,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,4,1,80,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,4,1,28,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,4,1,35,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,4,1,28,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,4,1,30,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,4,1,29,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,4,1,61.5235,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,4,1,33,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,4,1,41.5963,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,4,1,19.2787,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,4,1,42.2856,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,4,1,20.138,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,4,1,33.7216,ug/m3
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,4,1,12.1706,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,4,1,49.3915,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,4,1,61.9733,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,4,1,82.4784,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,4,1,31.4315,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,4,1,35.0189,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,5,1,49,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,5,1,42,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,5,1,150,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,5,1,42,ug/m3
