STATION,LAT,LON,ALT,PARAMETER,YEAR,MONTH,DAY,HOUR,AVERAGING_PERIOD,CONCENTRATION,UNITS
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,0,1,22.588695526123047,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,1,1,21.41781234741211,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,2,1,19.51224136352539,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,3,1,18.608718872070312,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,4,1,17.718772888183594,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,5,1,17.610454559326172,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,6,1,18.371421813964844,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,7,1,18.817092895507812,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,8,1,19.23040771484375,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,9,1,20.46125030517578,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,10,1,20.67294692993164,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,11,1,20.790742874145508,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,12,1,20.455320358276367,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,13,1,20.892974853515625,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,14,1,20.65093231201172,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,15,1,20.945579528808594,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,16,1,21.619626998901367,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,17,1,22.20314598083496,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,18,1,24.21925163269043,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,19,1,25.008012771606445,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,20,1,26.076717376708984,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,21,1,26.505977630615234,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,22,1,26.21503257751465,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,11,23,1,25.242319107055664,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,0,1,24.417110443115234,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,1,1,23.10967254638672,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,2,1,22.897727966308594,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,3,1,22.21768569946289,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,4,1,21.389694213867188,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,5,1,21.455217361450195,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,6,1,22.216161727905273,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,11,7,1,22.03647232055664,ug/m3
