STATION;LAT;LON;ALT;PARAMETER;YEAR;MONTH;DAY;HOUR;AVERAGING_PERIOD;CONCENTRATION;UNITS
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;0;1;25.37545394897461;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;1;1;25.135629653930664;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;2;1;24.373586654663086;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;3;1;25.20647621154785;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;4;1;25.80503273010254;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;5;1;27.69513702392578;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;6;1;30.080217361450195;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;7;1;31.878496170043945;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;8;1;33.39603042602539;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;9;1;34.575077056884766;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;10;1;34.46135711669922;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;11;1;33.2646598815918;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;12;1;31.052000045776367;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;13;1;29.413894653320312;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;14;1;27.24567222595215;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;15;1;25.4581298828125;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;16;1;24.221364974975586;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;17;1;23.42414093017578;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;18;1;24.88546371459961;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;19;1;25.132701873779297;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;20;1;26.036062240600586;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;21;1;26.67078399658203;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;22;1;26.88591957092285;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;14;23;1;26.47342872619629;ug/m3
